name	true_ani	path
q_ani0.8500	0.850000	/Users/shihuang/Downloads/Syn2bANI/prototype/simgc_Bifidobacterium_longum/q_ani0.8500.fasta
q_ani0.8800	0.880000	/Users/shihuang/Downloads/Syn2bANI/prototype/simgc_Bifidobacterium_longum/q_ani0.8800.fasta
q_ani0.9000	0.900000	/Users/shihuang/Downloads/Syn2bANI/prototype/simgc_Bifidobacterium_longum/q_ani0.9000.fasta
q_ani0.9200	0.920000	/Users/shihuang/Downloads/Syn2bANI/prototype/simgc_Bifidobacterium_longum/q_ani0.9200.fasta
q_ani0.9400	0.940000	/Users/shihuang/Downloads/Syn2bANI/prototype/simgc_Bifidobacterium_longum/q_ani0.9400.fasta
q_ani0.9500	0.950000	/Users/shihuang/Downloads/Syn2bANI/prototype/simgc_Bifidobacterium_longum/q_ani0.9500.fasta
q_ani0.9600	0.960000	/Users/shihuang/Downloads/Syn2bANI/prototype/simgc_Bifidobacterium_longum/q_ani0.9600.fasta
q_ani0.9700	0.970000	/Users/shihuang/Downloads/Syn2bANI/prototype/simgc_Bifidobacterium_longum/q_ani0.9700.fasta
q_ani0.9800	0.980000	/Users/shihuang/Downloads/Syn2bANI/prototype/simgc_Bifidobacterium_longum/q_ani0.9800.fasta
q_ani0.9900	0.990000	/Users/shihuang/Downloads/Syn2bANI/prototype/simgc_Bifidobacterium_longum/q_ani0.9900.fasta
q_ani0.9950	0.995000	/Users/shihuang/Downloads/Syn2bANI/prototype/simgc_Bifidobacterium_longum/q_ani0.9950.fasta
q_ani0.9990	0.999000	/Users/shihuang/Downloads/Syn2bANI/prototype/simgc_Bifidobacterium_longum/q_ani0.9990.fasta
